id,name,popularity,preview_url,link,duration_ms,album_id,album_name,release_date,album_img_64,album_img_300,artist_id,artist_name,followers,genre,artist_popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year
2PIvq1pGrUjY007X5y1UpM,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",78,,https://open.spotify.com/track/2PIvq1pGrUjY007X5y1UpM,252226,61Ba3txRZWfiX6ZTEZlFCV,"Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]",2014-12-23,https://i.scdn.co/image/ab67616d0000485164bd23d64f90b1910ead95a1,https://i.scdn.co/image/ab67616d00001e0264bd23d64f90b1910ead95a1,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,26575388,canadian contemporary r&b,94,0.659,0.381,2,-5.922,0.0304,0.385,0,0.0972,0.426,119.844,2014
03j354P848KtNU2FVSwkDG,Real Life,62,,https://open.spotify.com/track/03j354P848KtNU2FVSwkDG,223373,0P3oVJBFOv3TDXlYRhGL7s,Beauty Behind The Madness,2015-08-28,https://i.scdn.co/image/ab67616d000048517fcead687e99583072cc217b,https://i.scdn.co/image/ab67616d00001e027fcead687e99583072cc217b,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,26575388,canadian contemporary r&b,94,0.581,0.652,11,-5.039,0.0496,0.439,0,0.351,0.358,90.634,2015
7uJH0YdSZL6psjxI6Xy08b,Acquainted,73,,https://open.spotify.com/track/7uJH0YdSZL6psjxI6Xy08b,348853,0P3oVJBFOv3TDXlYRhGL7s,Beauty Behind The Madness,2015-08-28,https://i.scdn.co/image/ab67616d000048517fcead687e99583072cc217b,https://i.scdn.co/image/ab67616d00001e027fcead687e99583072cc217b,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,26575388,canadian contemporary r&b,94,0.372,0.478,7,-9.835,0.0503,0.482,0,0.0844,0.254,101.102,2015
4U38hORPx8SsUAXGumsUYN,Hold Me Down,62,,https://open.spotify.com/track/4U38hORPx8SsUAXGumsUYN,204785,5OZJflQcQCdZLQjtUudCin,BADLANDS (Deluxe),2015-08-28,https://i.scdn.co/image/ab67616d0000485174fefed78db6d6cf4d963fdc,https://i.scdn.co/image/ab67616d00001e0274fefed78db6d6cf4d963fdc,26VFTg2z8YR0cCuwLzESi2,Halsey,12990093,dance pop,88,0.677,0.744,1,-4.512,0.0882,0.279,0,0.119,0.531,145.928,2015
4FqMPJlvfY5Nfo3gRKcNxl,Colors,60,,https://open.spotify.com/track/4FqMPJlvfY5Nfo3gRKcNxl,249499,5OZJflQcQCdZLQjtUudCin,BADLANDS (Deluxe),2015-08-28,https://i.scdn.co/image/ab67616d0000485174fefed78db6d6cf4d963fdc,https://i.scdn.co/image/ab67616d00001e0274fefed78db6d6cf4d963fdc,26VFTg2z8YR0cCuwLzESi2,Halsey,12990093,dance pop,88,0.512,0.812,1,-4.809,0.0617,0.0534,0,0.092,0.521,100.02,2015
4QCVvLRNP45j83odN8Gzml,In The Dark,50,,https://open.spotify.com/track/4QCVvLRNP45j83odN8Gzml,226226,0w5yDAPhmukgZIyuency1n,The Night The Sun Came Up,2012-01-01,https://i.scdn.co/image/ab67616d000048519c831ece70cab74b5b98ef9e,https://i.scdn.co/image/ab67616d00001e029c831ece70cab74b5b98ef9e,7Ip2u3e5Nv6fFb5xyIHxEE,DEV,235729,dance pop,63,0.736,0.824,8,-4.231,0.0672,0.00358,0.000921,0.329,0.443,124.954,2012
0Oe49j06Bjrxs8PltuVeaW,On The Floor - Radio Edit,75,,https://open.spotify.com/track/0Oe49j06Bjrxs8PltuVeaW,230906,543NK5YT3RjGmP7nFzWJPm,On The Floor,2011-01-01,https://i.scdn.co/image/ab67616d000048515c7fdd07d99c156401073aaa,https://i.scdn.co/image/ab67616d00001e025c7fdd07d99c156401073aaa,2DlGxzQSjYe5N6G9nkYghR,Jennifer Lopez,9034129,dance pop,79,0.758,0.686,11,-6.346,0.0792,0.0848,0.00127,0.142,0.444,130.007,2011
2IFl6p0LoIfIZOn5IaxZOO,Sax,55,https://p.scdn.co/mp3-preview/8751c391190a04c947e54943d8e980fcde8bd986?cid=db980949895b411e9b9174156754fdd3,https://open.spotify.com/track/2IFl6p0LoIfIZOn5IaxZOO,236440,1nFgJpjh2doGfve56uADlm,"Love, Sax & Flashbacks (Track by Track)",2015-12-03,https://i.scdn.co/image/ab67616d0000485140ab5a3c8e7e7c8f12cca2bb,https://i.scdn.co/image/ab67616d00001e0240ab5a3c8e7e7c8f12cca2bb,37mtx80nMDETlbsq2eFCzc,Fleur East,192428,uk pop,49,0.728,0.892,4,-5.172,0.126,0.0144,0,0.469,0.826,117.976,2015
2CpH1L4CUR47RARB3PgY1l,You Don't Own Me (feat. G-Eazy),59,https://p.scdn.co/mp3-preview/06ad44fe94c9243f41cf0e8dd9ab595e13fc4ecc?cid=db980949895b411e9b9174156754fdd3,https://open.spotify.com/track/2CpH1L4CUR47RARB3PgY1l,199314,1jwMRIAKCBeroo1jYV19tO,You Don't Own Me (feat. G-Eazy),2015-03-17,https://i.scdn.co/image/ab67616d0000485193abf4acaec107063cd088d6,https://i.scdn.co/image/ab67616d00001e0293abf4acaec107063cd088d6,6y5amJcTjeDgLXIjtQLMst,SAYGRACE,153409,dance pop,68,0.336,0.664,7,-5.68,0.102,0.166,1.31e-06,0.0575,0.294,186.394,2015
6bKetqXF3g4UgaXQlAYdgz,Anything Could Happen,51,,https://open.spotify.com/track/6bKetqXF3g4UgaXQlAYdgz,286322,0UxDUFlte3hkCkvOpmNGgG,Halcyon,2012-01-01,https://i.scdn.co/image/ab67616d00004851310f78a4a2d3f2c7e2a02fd7,https://i.scdn.co/image/ab67616d00001e02310f78a4a2d3f2c7e2a02fd7,0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,8746095,dance pop,81,0.702,0.781,0,-4.081,0.03,0.433,0,0.135,0.382,102.997,2012
